code,name,close,market_capitalization,dividend_yield,payout_ratio,pe_ratio,earnings_share,beta,volume_avg_30d,52_week_high,52_week_low,ex_dividend_date,next_div_date,days_until_exdiv,pct_from_52w_low
MFC,Manulife Financial Corporation,46.95,80.306470912,3.69,0.5513,15.275641,3.12,0.872,6130.391,49.82,36.93,1764115200,2025-11-26,6,27.13241267262389
WCP,Whitecap Resources Inc.,11.61,14.22808064,6.23,0.6457,10.371682,1.13,0.885,6026.97,11.73,6.87,1764288000,2025-11-28,8,68.99563318777292
GWO,Great-West Lifeco Inc.,62.88,58.22277632,3.88,0.5534,14.607888,4.31,0.715,1766.114,63.31,44.89,1764720000,2025-12-03,13,40.07574069948764
SU,Suncor Energy Inc.,63.2,76.737847296,3.79,0.53150004,14.743589,4.29,0.793,7469.661,63.51,43.59,1764720000,2025-12-03,13,44.98738242716219
OTEX,Open Text Corporation,46.15,11.866416128,3.22,0.5563,17.475655,2.67,1.076,1083.496,56.0,32.41,1764892800,2025-12-05,15,42.39432273989511
RCI.B,Rogers Communications Inc.,53.84,29.345800192,3.71,0.1604,4.3247795,12.47,0.828,1886.59,56.15,32.42,1765152000,2025-12-08,18,66.0703269586675
MFI,Maple Leaf Foods Inc.,25.0,3.155645184,3.6,0.6065,16.32258,1.55,1.019,321.239,32.31111,17.43111,1765324800,2025-12-10,20,43.421732752532684
CVE,Cenovus Energy Inc.,25.89,48.442822656,3.12,0.4393,14.84393,1.73,0.722,11259.98,25.97,14.48,1765756800,2025-12-15,25,78.79834254143645
IGM,IGM Financial Inc.,55.5,13.214639104,4.02,0.5172,12.85977,4.35,1.17,318.879,57.54,38.89,1767052800,2025-12-30,40,42.710208279763435
HWX,Headwater Exploration Inc.,8.6,2.117826688,4.96,0.589,12.150684,0.73,1.085,690.29,8.89,4.75,1767139200,2025-12-31,41,81.05263157894737
NTR,Nutrien Ltd.,80.14,38.229356544,3.91,0.5863,15.159923,5.19,1.146,1685.945,88.03,62.89,1767139200,2025-12-31,41,27.428844013356656
POW,Power Corporation of Canada,68.31,43.428552704,3.59,0.50630003,14.381857,4.74,0.987,2343.445,71.97,41.88,1767139200,2025-12-31,41,63.10888252148996
